ID,Date,Source,Likes,Sentiments,department
874822228768116000,6/14/2017 2:54,Twitter for Android,7,1,WSUPD
873969577188872000,6/11/2017 18:25,Twitter for Android,1,0,WSUPD
873661781234864000,6/10/2017 22:02,Twitter for Android,0,1,WSUPD
872780589098840000,6/8/2017 11:41,Twitter for Android,0,0,WSUPD
872606459732918000,6/8/2017 0:09,Twitter for Android,25,0,WSUPD
870273221672800000,6/1/2017 13:37,Twitter for Android,0,1,WSUPD
869591215846682000,5/30/2017 16:27,Twitter for Android,4,1,WSUPD
869299430532538000,5/29/2017 21:08,Twitter for Android,2,0,WSUPD
868238364750876000,5/26/2017 22:52,Twitter for Android,2,0,WSUPD
868112691101130000,5/26/2017 14:32,Twitter for Android,0,0,WSUPD
866337538126077000,5/21/2017 16:58,Twitter for Android,1,1,WSUPD
865582351220326000,5/19/2017 14:58,Twitter for Android,13,1,WSUPD
864904493644828000,5/17/2017 18:04,Twitter for Android,0,1,WSUPD
864534083501780000,5/16/2017 17:32,Twitter for Android,0,1,WSUPD
863527886409666000,5/13/2017 22:54,Twitter for Android,0,1,WSUPD
863527359215001000,5/13/2017 22:52,Twitter for Android,13,0,WSUPD
863439425551859000,5/13/2017 17:02,Twitter for Android,0,0,WSUPD
863154878243274000,5/12/2017 22:12,Twitter for Android,0,0,WSUPD
863140856618004000,5/12/2017 21:16,Twitter Web Client,4,1,WSUPD
863057660446420000,5/12/2017 15:45,Twitter for Android,4,0,WSUPD
862045658458591000,5/9/2017 20:44,Twitter for Android,8,1,WSUPD
861910175787122000,5/9/2017 11:46,Twitter for Android,0,0,WSUPD
860163349702639000,5/4/2017 16:04,Twitter Web Client,0,-1,WSUPD
858782146227560000,4/30/2017 20:36,Twitter for Android,8,1,WSUPD
857566445986828000,4/27/2017 12:05,Twitter for Android,0,0,WSUPD
857373921301196000,4/26/2017 23:20,Twitter for Android,12,1,WSUPD
857006954643935000,4/25/2017 23:02,Twitter for Android,1,1,WSUPD
856839327397105000,4/25/2017 11:56,Twitter Web Client,1,-1,WSUPD
856512252765143000,4/24/2017 14:16,Twitter Web Client,3,0,WSUPD
856246839175262000,4/23/2017 20:42,Twitter Web Client,2,-1,WSUPD
854440654545584000,4/18/2017 21:05,Twitter for Android,1,1,WSUPD
854336730614386000,4/18/2017 14:12,Twitter for Android,0,1,WSUPD
852673267823497000,4/14/2017 0:02,Twitter for Android,0,1,WSUPD
852328463025532000,4/13/2017 1:11,Twitter for Android,0,0,WSUPD
851576905971245000,4/10/2017 23:25,Twitter for Android,5,-1,WSUPD
851443115504410000,4/10/2017 14:33,Twitter for Android,3,0,WSUPD
850768061661687000,4/8/2017 17:51,Twitter Web Client,1,-1,WSUPD
850346996917469000,4/7/2017 13:58,Twitter for Android,5,0,WSUPD
850151564052398000,4/7/2017 1:01,Twitter for Android,0,1,WSUPD
849987995214254000,4/6/2017 14:11,Twitter for Android,4,1,WSUPD
849987701042544000,4/6/2017 14:10,Twitter for Android,1,0,WSUPD
